,name,img,video
90,[15분 레시피] 레이먼킴 셰프의 '런닝램',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190618_102016_547_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10302733/view
91,[15분 레시피] 정호영 셰프의 '내가 이길고렝',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190611_104743_355_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10301464/view
92,[15분 레시피] 오세득 셰프의 '꿍푸팬더',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190611_104438_644_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10301462/view
93,[15분 레시피] 유현수 셰프의 '버거김',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190611_103644_178_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10301458/view
94,[15분 레시피] 샘킴 셰프의 '샘도날드',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190611_103300_444_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10301456/view
95,[15분 레시피] 정호영 셰프의 '닥터 호영레인지',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190604_111238_636_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10300058/view
96,[15분 레시피] 유현수 셰프의 '아피제닌맨',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190604_110723_719_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10300056/view
97,[15분 레시피] 송훈 셰프의 '갱년기 날렸찜',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190604_110123_359_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10300054/view
98,[15분 레시피] 샘킴 셰프의 '문어지지마!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190604_105624_460_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10300052/view
99,[15분 레시피] 김풍 작가의 '코알라 구할 준비됐나요♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190528_095644_282_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10298288/view
100,[15분 레시피] 레이먼킴 셰프의 '레이먼사우르스',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190528_095428_435_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10298286/view
101,[15분 레시피] 오세득 셰프의 '미역도 다시 한번',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190528_095051_196_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10298284/view
102,[15분 레시피] 이연복 셰프의 '불혹에 딱 좋은 면인데♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190528_094748_288_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10298282/view
103,[15분 레시피] 송훈 셰프의 '꽃중년 스테이크',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190521_102035_234_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10296953/view
104,[15분 레시피] 레이먼킴 셰프의 '보양식이랑깨',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190521_101821_881_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10296951/view
105,[15분 레시피] 이연복 셰프의 '잣잣잣~ 하고 말아드세요♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190521_101342_372_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10296949/view
106,[15분 레시피] 김풍 작가의 '러시아풍 크레페',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190514_095519_988_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10295976/view
107,[15분 레시피] 오세득 셰프의 '러시아 가 봤슈?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190514_095424_315_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10295974/view
108,[15분 레시피] 정호영 셰프의 '청양공주',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190514_095326_318_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10295972/view
109,[15분 레시피] 샘킴 셰프의 '지금 이 순간~ 전골처럼♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190514_095117_229_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10295970/view
110,[15분 레시피] 미카엘 셰프의 '이런 된장',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190507_100727_923_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10294668/view
111,[15분 레시피] 정호영 셰프의 '막걸리 칼라 파워!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190507_100629_776_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10294666/view
112,[15분 레시피] 유현수 셰프의 '나비족 세트',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190507_100443_238_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10294664/view
113,[15분 레시피] 김풍 작가의 '보헤미안 미슐랭',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190507_100304_402_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10294662/view
